遗憾我当时年纪不可亲手拥抱你欣赏,林夕
于千万人之中，遇见你所遇见的人。于千万年之中，时间无涯的荒野里，没有早一步，也没有晚一步，刚巧赶上了，那也没有别的话可说，惟有轻轻地问一声：哦，你也在这里吗？,张爱玲
The world is so immense that there must be a you. The world is so immense that I might never run into you.,胖妮
我爱你，不光因为你的样子，还因为，和你在一起时，我的样子。,罗伊·克利夫特
但是 像我们这些没有宗教信仰的人 不就是靠被喜欢的人喜欢而活下来的么,安东尼
Don&#39;t criticize what you do not understand.,terry
愿你被这世界以温柔相待,飞机王
不敢和优秀的人有交情因为不知道自己可以拿什么来换,朱七七
你有这样一个好同学都不知道 我想你是傻瓜吧,terry
想知道我们认识了多久 扫一扫我们的偶像剧就知道了,pxy
不理几点钟 街头狂怒叫 要踢穿玻璃樽与规则的空洞,koo
男人至死都是少年,terry
人啊，只要听到别人说一句“你已经做得很好了”，就会放下所有的愤怒与不甘，内心变得温暖而又柔软。,ruanyy
爱的是你，最爱的还是你。,日常
十年过去了，时间没长大，我却变了。,日常
我们还是青年人，但已经不年轻了。,Sunmo
时间的长度，在于爱的长度,Sunmo
世界上没有偶然，有的只是必然。,XXXHolic
世界因你而转动……,只有神知道的世界
不约，不约，叔叔我们不约~,
世界上没有一个人能代替另一个人。,人型电脑天使心
有时语言就像把利刃，使用不当，就会成为凶器。,名侦探柯南
我以前和你一样是个冒险家，直到有一天我的膝盖中了一箭。,上古卷轴5
吉姆，你真是个好人。,星际争霸2自由之翼
故事的开头总是这样，适逢其会，猝不及防；故事的结局总是这样，花开两朵，天各一方。,从你的全世界路过
故事写在纸上总有一个结局，故事写在心里却是无人知道的结局。,网络
我们就像两条笔直的平行线，按照彼此的轨迹，突然出现，接着渐行渐远。,原创
当你远远凝视深渊时，深渊也在凝视你。,《心理测量者》，原句来自尼采
笛卡尔说过，无法下决定的人，要么是欲望太大，要么是悟性不足。,槙岛圣护，心理测量者
人在直面恐惧的时候，自身的灵魂将会受到考验。降生于这世界，究竟有何所求，要成何事，其本性会暴露无遗。,槙岛圣护
终于放弃了虚伪的正义，手握真正的杀意了吗？,
"我夸耀的不是孤独,而是把孤独作为武器的你。",
向这污秽不堪丑陋不堪的世界中所相遇的奇迹致谢。,岩泽麻美，Angel Beats
在我所不知道的世界里，你无拘无束，笑靥如花,真实之泪
花朵在绽放前无法预知自己的色彩,花开伊吕波
爆裂吧，现实！粉碎吧，精神！Banishiment       this world！,中二病也要谈恋爱
此魂、此剑一同，永远为您献上！,圣剑使的禁咒咏唱
刻意保持距离的人是你，虚拟世界里的区区两公尺，对你来说就真的如此遥不可及?,加速世界
没办法爱所有人，算什么男主角。,欢迎光临美少女游戏世界
果然就凭我无法成为那个什么事情都能自己一个人解决掉的男主角，但是只要她们在我身边的话，总觉得自己什么事情都能做得到。,欢迎光临美少女游戏世界
我们最为喜欢的事情之一就是对自认为站在绝对有利位置上的对手断然地以一句‘NO’来拒绝！,游戏人生
无论你在哪里，就算我看不见你，我也会一直注视着你,妖精的尾巴
痛苦的时候，悲伤的时候，我都会在你身边，你绝对不是独自一人，在空中闪耀的群星就是希望的数量，吹拂过肌肤的清风就是明日的预感，来，踏出一步吧，伴随着**唱出的节拍。,妖精的尾吧
再自信的人都会觉得自己还不够好,网络
盯着书看了三个小时，一个字都没看进去。,网络
与君初相识，犹如故人归。,网络
你让我好慌张。,网络
余生请你指教。,网络
Yesterday you said tomorrow.,网络
如果你是异性，会不会爱上现在的自己？,网络
你配得上自己想要的生活吗？,网络
最可怕的是比你聪明的人居然还比你努力！,网络
人一切的痛苦，本质上都是对自己的无能的愤怒。,网络
我努力的目的就是想让我妈妈给自己买东西的时候能像给我买东西的时候一样干脆。,网络
我们开始一起攀登，这长长的，长长的坡道,Clannad
你们的理想，交给我来守护吧！,那年那兔那些事
清风证明，你纯洁无暇。白云证明，你纯洁无暇。,异人傲世录
像平常的你一样引发奇迹吧,魔法少女小圆
我从小就害怕虫子』,小小闲
谎言不一定是谎言，被发现的，才算是谎言。,秋之回忆
事出总是突然的，而理由则是后来加上去的。,火影忍者
因为有亲情的牵绊，一旦失去就会痛。,火影忍者
这一次，这两个人都由我来拯救！,火影忍者
对不起，鸣人，要让你稍微等我一阵了，下一次，我一定不会拖后腿的。,火影忍者
原谅我，佐助，这是最后一次了。,火影忍者
木叶的莲花会再次绽放！,火影忍者
正义必胜吗？当然，胜利的就是正义。,海贼王
要是在力量底下屈服，那我身为男人还有什么意义。我绝对不会让我的人生留下后悔。,海贼王
路飞，为了你，我要成为最强的怪物。,海贼王
人的梦想，永远不会结束！,海贼王
我的船下没有手下，只有伙伴。,海贼王
我不会去统治这片大海，在这片大海上，最自由的人就是海贼王！,海贼王
我有个野心，就是要成为世界第一的剑客！,海贼王
这顶帽子是我最珍贵的东西，我把它交给你，将来你一定要还给我，当你成为了不起的海贼的时候。,海贼王
我想活下去  你懂的,网络
不能吃太胖哦，会被杀掉的,千与千寻
没必要的事不做 必要的事尽快做,冰菓
尽管如此 我可以呆在你身边吗？,猎人
你傻啊 别把二次元和三次元相提并论,我的妹妹不可能这么Ow&lt;~☆
人只有忘记回忆才能活下去,EVA
然而，身长大了心却一直停留在原地,火影忍者
不过……自身的渺小，不是停止追寻伟大的借口,
只有懦弱和失败者才会四处寻找借口,
就算痛哭流涕，我也要继续攀山，这才是人生的乐趣所在啊。,
不相信自己的人，连努力的价值都没有,
我把我的人生给你一半，你的人生也给我一半吧！,
把剑放下，成为本王的妻子吧！,
我曾经把你当过自慰对象,
喜欢就去说啊，丢一下脸又不会死！！——不过多一张好人卡而已,
(눈_눈),进击的巨人
无法逃避的是自我，而无法挽回的是过去。,机动战士高达
这首曲子叫做卡农，帕赫贝尔的卡农。不断地重复着同样的旋律，渐渐丰富的和弦，形成美丽的呼应。如同这首曲子一样，过着乍看是不断重复的相同日子，但如果能逐渐有所改变的话，就好了呢。,kanon
"I am a slow walker, but I never walk backwards.",有道学堂
一生这么短，不如做点有趣的事。,技术宅-i技术
左耳和无木栋，两土旁站个人，人旁无草苇丛，此人心机难测。,寒光博客
我们留恋过去并不是因为它美丽，而是里面浸满了欢乐的回忆。,魔方格
做出一副温柔的样子来折磨人不是更令人难受吗？,我的青春恋爱物语果然有问题
他感觉到这座城市的压力了，在这座城市里他渺小得跟尘埃似的  。,龙族
只要还有人等你，只要还有人跟你在一起，无论天涯海角你都不是野狗，保持着家犬的幸福感。,龙族
夕阳如海潮般涌入她的视野，巨大的日轮已经触及了海面，数千万吨海水在她脚下缓缓地荡漾，潮水在黑色的山崖下碎成白色的水花。 风吹着数万公顷的森林，傍晚的树林远看也像海，苍红色的大海，成千上万的树梢随风摇曳，组成层层叠叠的波涛。小城小镇沿着曲折的海岸线分布,龙族
最后留在记忆深处的总是些虚无缥渺的东西，就像你记住一个人往往不是因为她的美，很多年后你连她的样子都忘记了，可偶然在人流如织的街头闻到她惯用的香水味，你在惊悚中下意识地回过头去，却只看见万千过客的背影。 你这才想起即便刚才和你擦肩而过的确实是她，即便你跟她面面相对，你也未必能认出她今天的样子了。,龙族
可现实不容他是否接受，现实就是现实，那么沉默那么庄严地存在着。,龙族
两种枪声都显得有些孤独，倒像是男低音和女中音在旷野上合唱一首歌曲。,龙族
魔鬼是杀不掉的，魔鬼在我们每个人心里。,龙族
可是人总是不能回头的，也没什么可后悔的，回想那时候一个少年和一个中年人，             大家都以男人的身份相遇，也是值得举杯缅怀的。,龙族
所谓觉悟，就是经历时间和考验也不会坍塌的意志。,龙族
那种躲躲闪闪的眼神，眼底里却藏着狮子。,龙族
原来死是这么一回事，事到如今什么都不重要了，只是遗憾没有更多的时间说几句话。,龙族
美如空山樱落，皓月当空,龙族
回首看向大海的方向，天空仍是漆黑一片，海中却像是流淌着一条银河，这一幕仿佛天地倒悬。美得令人窒息。,龙族
我是个梦想者，深藏着力量。,百变小樱
知我者，谓我心忧，不知我者，谓我何求。,诗经
May the Force be with you,星球大战
关于自己的生活，我和你都不是读者，而是作者。至少结局，还是能自己说了算的。,银魂
"与其想着怎么美丽地牺牲,倒不如想着怎么漂亮地活到最后一刻。",银魂
el psy congroo,命运石之门
友好的游戏环境是一个基于地理位置的游戏发展的根基，所以说一桶一定是Baka！,
炸炸炸！渣渣们！拿起手中的手机，用XMP炸毁这个世界吧！,
背锅技术哪家强？快到西安找一桶！不要8888888更不要88888888888。,
1+1=2！,
喵！喵喵！喵喵喵！！！,
如果现在是早晨，那么早安；如果现在是中午，那么午安；如果现在是下午，那么快去睡觉；如果你已经上了床，弱弱的问一句，约吗？,
如果幸福有形状，该是什么样的呢？它就像玻璃，因为平时察觉不到它的存在，而它却时时在我们身边，最有力的证据就是，只要换一个角度，它就会折射出耀眼的光芒，比谁都过分强调自我的存在。,反叛的鲁鲁修
我觉得你比我幸福。因为你可以选择爱我或不爱我，而我只能选择爱你或更爱你。,school days
人只会看到自己想看见的东西，只相信自己的希望相信的东西。,X
我从来都不是什么天才，只是一个普通人，是一个连一个小女孩都保护不了的普通的、渺小的人类啊。,钢之炼金术师
我做不到的由你来，你做不到的由我来！,海贼王
在战争中平等的就只有痛苦而已。,驱魔少年
是男人的话 没有做的到和做不到 只有做与不做。,棒球大联盟
在走廊里摔倒会流鼻血在人生中摔倒会流眼泪。,龙与虎
尽可能预想所有残酷的可能性、因为现实永远让你无法预警，而且又吝于给人慈悲。,全职猎人
虚伪的泪，会伤害别人，虚伪的笑，会伤害自己……,反叛的鲁鲁修
如果你是魔女，我只要化身魔王就可以了。,反叛的鲁鲁修
人如果不付出牺牲就无法得到任何东西，如果要得到什么，就要付出同等的代价，这就是等价交换的原则。,钢之炼金术师
人类总是将世界缩小在自己浅薄的知识范围之内，总是把超越自己理解能力的事物当成威胁自己立场的敌人来对待，非得排斥、驱除、抹杀不可……可是对于同种族的生物，又以肤色、出身来划分阶级贵贱，相互憎恨，相互残杀。,恐怖宠物店
人的一生会遭遇各种各样的事，其中有令人难以置信的事，也有不讲道理的事，但这就是生活。,地狱少女
早苗说了，世界上能哭的地方只有两个，一个是厕所，一个是爸爸的怀里。,clannad AS
只要活着，不管多痛苦，都会有好事发生。,NANA
美丽的不是这个世界，而是接受了这个世界的你的眼神。,吸血鬼骑士
不管是怎样的心情，都是你所感觉到的你自己的心情，所以要是你对其做出肯定的话，那它就是正确的。所谓何为对何为错，每个人的标准都是不同的，幸福也是如此。,XXXHOLIC
痛苦，是保持清醒的最好方式。,秦时明月
从我学会奔跑的那一刻起，我就一直在奔跑，我不敢回头。怕回头看见的，是你眼角的失望。,秦时明月
隐约雷鸣 阴霾天空 但盼风雨来 能留你在此 / 隐约雷鸣 阴霾天空 即使天无雨 我亦留此地,言叶之庭
就算不知明天会变得如何也无所谓，我们是为了活在当下而全力以赴。,妖精的尾巴
一个人的死，对于这个世界来说不过是多了一座坟墓，但对于相依为命的人来说、却是整个世界都被坟墓掩埋。,海贼王
遇到迷茫时，任何人都会变得软弱。 一旦坚信自己可以帮到别人，他们就会变得很强大。,海贼王
为什么遇到如此强大的敌人你也不愿逃跑？—— 那是因为身后，有至爱之人。,海贼王
要是我死了的话，那也只能说明我就是这种程度的男人罢了。,海贼王
永远也不要忘记能够笑的坚强。,海贼王
听着……乔巴，男子汉，即……即使……遇……到可能会杀死自己的强敌……也，也不能倒下。就算对方是……死也赢不了的敌人……男人……有时候是绝对不能逃避……战斗的……！尤其……尤其是当……伙伴的梦想……被人嘲笑的时候！,海贼王
我不知道离别的滋味是这样凄凉，我不知道说声再见要这么坚强。,千与千寻
我只能送你到这里了，剩下的路你要自己走，不要回头。,千与千寻
这个世界真的很现实，每个人都在为着同一个目的，不惜一切代价努力着，心甘情愿的成为金钱的奴隶，死心蹋地的付出。,千与千寻
我已经准备好了足够挡雨的伞，可是却迟迟没有等到雨的到来，这样的尴尬只是我漫长人生中的小插曲罢了。,千与千寻
我除了默默守护你，一无是处！,千与千寻
时光再美，怎如初见。,花名未闻
岁月的暖，漫过时间的河，抚过久闭的心扉，我在时光斑驳深处，聆听到花开的声音。,花名未闻
一个人要坚强地活下去是很难的吧，想战胜心里的不安也很辛苦吧。人活着，总要带上面具带上笑容。,犬夜叉
其实美丽的故事都是没有结局的，只因为它没有结局所以才会美丽。,萤火之森
好人吗？ 这个说法我不是很喜欢。  因为我觉得，人们只会以此来称呼那些对自己有用的人。,进击的巨人
即便再悲伤也要勇敢活下去，这是人类的诅咒，但一定，也是一种祝福。,追逐繁星的孩子
你不在的世界里，我无法找到任何意义。,追逐繁星的孩子
人哪有好的 只是坏的程度不一样而已。,哈尔的移动城堡
对不起，你一直在等我，但是我却现在才来。,哈尔的移动城堡
直到最后一刻也不能放弃希望，一但死心的话，比赛就结束了。,灌篮高手
老爹，你最光荣的时刻是什么时候？是成为全日本代表的时候吗？我呐，只有现在了啊。,灌篮高手
等某天，雨水停歇，泪水滴落，就在土地上扎根吧，在那之前就和雨一同如浮云般流浪。,虫师
眼泪这东西啊，是流出来就能把辛酸和悲伤都冲走的好东西。可等你们长大成人了就会明白，人生还有眼泪也冲刷不干净的巨大悲伤，还有难忘的痛苦让你们即使想哭也不能流泪，所以真正坚强的人，都是越想哭反而笑得越大声，怀揣着痛苦和悲伤，即使如此也要带上它们笑着前行。,银魂
人生若跌倒谷底，剩下的便只有往上爬了。,银魂
人生，就像肥皂泡一样。风一吹就呼呼的飞上了天，注意到的时候，却啪地一下消失了。就在即将破裂的瞬间，想要自己飞得更高。但回过神来的时候，却总是来不及。,银魂
想哭的时候就哭出来吧，想笑的时候就笑出来。当你哭到变丑的时候，我会比你哭的更丑，当你捧腹大笑时，我会比你笑得更大声。只要这样就好了。,银魂
立誓今生尊你为王，用我热血为你封疆。,银魂
天空是平等的，对任何人都不多不少，平等的照耀着人们.但是天空时而会给我们试炼，黑暗来临，云和雨将太阳遮盖，即使这样，我们也永远不会犹豫.不会有过不去的夜，不会有停不下的雨，只要心中有太阳，我们就可以没有迷茫的活下去.,银魂
"要是喜欢一个人,就要连那个人脏的地方一起喜欢。",银魂
"“能否说家境越好的人越愿意努力向上，而家境一般的人反而会安于平凡？”“和你们这些少爷不同,我们光是活着就竭尽全力了。”",银魂
孕妇忍著好像要把西瓜从鼻孔里拉出来的痛苦生下小孩，艺术家忍受著好像要把宇宙从肛门里挤出来的痛苦作出艺术品。无论是谁都有想要撞墙而抛弃一切的时候，但是痛苦中有著非常重要的东西，这一点决不能忘记。大家都是背负着麻烦的机械，是不停翻滚而生的。,银魂
朋友哭泣的时候只要陪着一起哭泣就好了，朋友苦恼的时候只要抱着头一起苦恼就好了。要是朋友的话，就要一起分担痛苦。,银魂
春天 马上就要来了  让我与你相遇的春天 就要来了  再也没有你的春天 就要来了,四月是你的谎言
喜欢的人喜欢别人不是很正常吗。,四月是你的谎言
4月份的时候，我遇到了一个男孩子，哭着泄气着，十分不像样地挣扎着，但是一到舞台上，却如繁星般璀璨，他的人生如同优美地弹奏出来的旋律一般。我和他约好了，「再一次合作」。所以我也想…拼命努力地挣扎看看，不像样也好，苟延残喘也罢，我想挣扎，挣扎，再挣扎，拼命挣扎到最后。,四月是你的谎言
铁块般的飞机犹如流星，仅仅是和你一同仰望天空，平日司空见惯的风景也会变得与众不同。你的一举一动决定我所有的悲观喜忧，让我的心随之奏响音乐，应该怎样形容这种感情呢？这大概就是恋爱了吧。,四月是你的谎言
如果我能做到的话，我会不惜一切的。如果是为了喜欢的女孩子的话，就算让我喝泥水也行，我会咕咚咕咚喝下去。,四月是你的谎言
我可是痛苦了好久，你也尝尝痛苦的滋味吧。痛苦着痛苦着，满脑子只能想我的事。,四月是你的谎言
我不知道将去何方，但我已在路上。,千与千寻
"学习不是填满水桶, 而是点燃火焰!",叶芝
"不要盲目地崇拜任何权威, 因为你总能找到相反的权威。",罗素
"如果政府不能解决问题, 那它本身就成为问题!",里根 (美国前总统)
"民众不应该害怕他们的政府, 政府才应该害怕它的民众!",V字仇杀队
制造恐惧是专制政府的终极武器,V字仇杀队
"牺牲基本自由来换取暂时的安全, 最后既得不到安全也得不到自由!",本杰明.富兰克林
将愚人从他们所敬拜的锁链下解放出来是非常困难的,伏尔泰
"专政与民主是对立的统一, 人民民主是基础, 只有充分民主才能有专政, 离开民主就是法西斯专政!",胡耀邦谈&#39;人民民主专政&#39;
"小时候一个劲地教你做好人, 长大了一个劲地教你做坏人 这就是中国式教育",
"党可以宣布&#39;2+2=5&#39;, 而你就不得不相信它。",1984
"在大欺骗的时代, 说出真相就是革命行为!",乔治.奥威尔
稍有常识的人都能看出，如果我们的铁骑继续前进，这个螳臂当车的歹徒能够阻挡得了么?,无
GuHeHe,...
你见过绝对能保证不会咬人的猛兽吗?,罗罗诺亚·索隆
我不能忘记她，但我可以忘记悲伤。,Kanon
君を救うためなら、俺は何度でも……死ぬ。,りゼロ
人的一生非常短暂，所以需要不停的寻找人生的意义，如果放弃了，那你也不过是行尸走肉罢了,原创
我们都很擅长口是心非，但又希望对方能有所察觉。,九ちのセカィ
恋爱什么的，无非就是大脑的电波式活动造成的bug的一种~,樱花庄的宠物女孩
缘起，在人群中，我看见你。缘灭，我看见你，在人群中。,
“呐，你知道吗？听说樱花飘落的速度是秒速五厘米哦。&quot;,《秒速五厘米》
人生就是一列开往坟墓的列车，路途上会有很多站，很难有人可以自始至终陪着走完。当陪你的人要下车时，即使不舍也该心存感激，然后挥手道别。,《千与千寻》
有的人笑着，不是没有痛苦，只是在忍受。,游戏王MUGEN
你是钢铁我是血肉，压过来啊，王八蛋。,这世界是一座窄窄的桥
科学是人类的技术，哲学是人类的游戏。,wc
笑问客从何处来。,回乡偶书
你造吗，站主没有女朋友哦！,wc
已经用不着了，已经无法忍受了，即使这样也换不回残破书籍中的一页。,缲り返し一粒
"哼,肮脏的烟火。",《七龙珠》贝吉塔
我明白夜晚已尽，时间逐渐飞逝。而我绝不会告诉你任何该告诉你的事。,Making Love Out of Nothing at All-
在如此重要的同伴面前，喜欢是没有煞车器的吧。,Singing!
欢呼声围绕你，引导你迈向明天。,STAND UP
"凡孤独的,不是野兽便是神灵。",培根《论友谊》
路有多漫长 有没有那地方,苏菲亚
It’s been fun but now I’ve got to go.,When Can I See You Again?
相遇乃走向失去的约定。,恋人を射ち堕とした日
即便不见明日亦要前行。,ラヴァーズ
常夏开在荆棘里，玫瑰玫瑰我爱你。,玫瑰玫瑰我爱你
你的胆小，就让它，见鬼去吧。,アシタハアタシノカゼガフク
"你,没有朋友，我赢，我有朋友！",数码兽合体战争
我要把我的热血和大便，都通通抛在这旗帜上面。,觉醒
Fly me to the moon.,Fly me to the moon
凝结在草叶上的露水，将流向何方。,Shine J-MIN
可遇不可求的事：故乡的云，上古的玉，随手的诗，十九岁的你。,可遇不可求的事
每个时代都需要自己的符号来控制人民，无论是星星和条纹，还是锤子与镰刀。,合金装备4
没有人会记得死的东西，所以要活下去，咬牙切齿的活下去！,龙族3黑月之潮
你以为她是公主她拥有全世界，可她以为她只拥有你和她的玩具们。,龙族3黑月之潮
他如此清晰地感受着这个世界的恶意，所有人都要杀了他，所有人都为那个挥棒的家伙叫好，他是全世界的敌人……如果全世界都把你看作敌人，你是不是也曾想过要毁掉这个世界？,龙族3黑月之潮
……所有玩具的标签都被换过了，所有玩具都被标明是Sakura和绘梨衣共有的，整个世界都是他们共有的……这个女孩拥有的世界就这么大这么多，她第一次把这个世界跟人分享。,龙族3黑月之潮
这个世界上你喜欢的人固然不多，但喜欢你的人也不会多啊。,龙族3黑月之潮
就像皇帝必须承受皇冠之重，每个人都会有强撑着支持下去的理由，很多的时候那种理由被称作命运，其实说到底是你自己不愿意放手,江南
是啊你是小怪兽，可小怪兽也有小怪兽的好朋友，孤独的小怪兽们害怕得靠在一起，但如果正义的奥特曼要来杀你，我就帮你把正义的奥特曼杀死。可我答应了，却没有做到。,龙族3黑月之潮
我不是英雄，过去不曾是，未来也不会是,合金装备4爱国者之枪
和平不会主动找上门，我们要去半路迎接它,合金装备：和平行者
忘记本来就是不可能的一件事！,
はい、榛名は大丈夫です！,舰c
少女什么的，最讨厌了！,萌璃导航
如果喜欢，就把这一切当做是荣耀，而不是炫耀,全职高手
"你驻足于春色之中,于那独一无二的春色之中。",四月是你的谎言
春天马上就要来了，让我和你相遇的春天，就要来了，再也没有你的春天，就要来了。,四月是你的谎言
除非黄土白骨 我守你百岁无忧,十年一品温如言
El Psy Congroo..,命运石之门
上帝说要有光，于是萝莉就掀开了裙子。,网络
如果对别人见死不救的话，那还不如一起死了算了。 ——桐人,
回到现实世界我第一想见到的人就是桐人，再一次喜欢你，和你真正的交往，真正的结婚。——亚丝娜,
这个世界，只需要一把剑就可以去往任何地方。——桐人,
这虽然是游戏，但不是闹着玩的。——茅场晶彦,
这双……杀人犯的手 你还会紧紧的握住吗？——诗乃,
虽然很讨厌你，但还是暂时借我依靠一下。——诗乃,
即便是死在怪兽手上，我也不想对这个游戏，这个世界认输……无论如何也不会!  ——亚丝娜,
当我醒来时已经是傍晚了，那个人还在我身边摆出一脸不耐烦的样子。而那个人呢，就是他……  ——亚丝娜,
我的生命是属于你的，亚丝娜，我将为你而活。——桐人,
我觉得只要这样继续加油，总有一天能赶上他们的。——启太,
如果什么时候能找到值得信赖的人，并被邀请加入公会的话，不要拒绝哦。 ——桐人,
能与你相遇，待在你身边，真的是太好了。谢谢你，再见。——幸,
初次见面，我是结城明日奈。我回来了，桐人。 ——亚丝娜,
桐人……你……你要活下去啊……要活到最后一刻啊……给我活下去。——克莱因,
我很喜欢莉法，也很想和你做朋友。—— 桐人,
我可不想让团队伙伴死去啊，至少不许是明天。——桐人,
我喜欢哥哥，但是，我不能把这份感情说出来，只能深深地藏在心底。直到有一天，我遗忘为止。 ——莉法,
我们的战斗……站起来吧，桐人君。——茅场晶彦,
妈妈…妈妈在上面！——结衣,
在那一天到来为止，我要用我的方法把优纪心的姿态传递下去。——亚丝娜,
结衣……你在这里，对吧……我的……结衣……——亚丝娜,
是的，因为我……我的自负……害死了你们……——桐人,
我觉得在这里干尽坏事的玩家，都是些在现实世界中也烂到骨子里的家伙。——桐人,
这个社会的基本构造就是出人投地，就是因为你的自卑感和优越感取得了相对平衡，所以你才能在这里悠闲地吃着蛋糕。——桐人,
我会永远呆在桐人身边，所以请不要害怕。——亚丝娜,
不会指望你和我一起去的，即使一个人我也要战斗。——诗乃,
我们也算好朋友吧?也让我尝一下味道啊！——艾基尔,
救、救命啊，桐人哥!不要看但是救我！——西莉卡,
一定要打到决赛来啊，要让你尝尝宣告败北的子弹是什么滋味。 ——诗乃,
朝田同学……可以说是我的理想。 ——新川恭二,
其实在你的心底里……没有意识都的某个部分，是认为不能真的忘掉那些事的吧。——安岐,
笨蛋，太见外了吧，只要跟我说一声要去那里，我都会一起转换过去的啊。——克莱因,
我的第一保护对象是亚丝娜，以及在遇到不可敌的情况下我只会带着亚丝娜脱离。——桐人,
因为你……跟我妹妹很像。 ——桐人,
你是我至今见到的最厉害的玩家。 ——尤金,
嗯 ……我会去的 ……不管到哪里都在一起。 ——莉法,
拜托。请把力量借给软弱的我。给我从这里再度起身迈步的力量。——诗乃,
不论面对什么样的强敌都不会输的。因为他是爸爸啊。——结衣,
像你这种杂碎玩家，怎么可能担任亚丝娜大人的护卫!——克拉帝尔,
我希望你能够拥有不输给任何人的资历。 ——结成京子,
有些事情还是得用强硬的手段才能让对方了解。 ——由纪,
即使任务因此而失败我也要救她出来，因为这才是我的生存之道——也就是武士道啊！ ——克莱因,
孤单一人将没办法背负任何东西。 —— 桐人,
照这样下去，这辈子根本没办法砍倒这棵树嘛！——桐人,
禁忌算什么！那难道比爱丽丝的命还重要吗？——桐人,
不论是在哪个世界，只要桐人一有危险，我将绝不犹豫地保护他。 ——亚丝娜,
只要有将我们引导至此的命运之剑在身边，绝对不会失败。 ——优吉欧,
我一定要找出她丧失记忆的原因，让她恢复成原来的爱丽丝。—— 优吉欧,
我跟你没什么好说的了。战斗吧……你们也是为此而来到这里的吧。——优吉欧,
把自己的一切灌注于剑上，奋战到底。仅此而已。 ——桐人,
Your soul will be so sweet. —— 加百列·米勒,
亚丝娜，今晚我想和你在一起……——桐人,
能够拥抱爸爸的，只有妈妈和我！——结衣,
握不住的沙，不如扬了它。,
Tomorrow is another day.,Gone With The Wind（飘）
暗恋时，除了眼睛，我全身上下都在看你。,网络
人生这个游戏，没有人可以活着玩下去。,
过去和便宜的书一样。读完了就可以丢掉。,Bangumi娘
飞越天际  追逐梦想,Skyline
这玩意儿我开过，9万2一个,乘客
下降率太高了！,CZ3456
女士们先生们，320来了,波音员工（不
要啥自行车,麦抗敏机长
电脑显示我们完了,澳航32班机
我们乘坐的是空中巴士747,菲律宾434
我愿意出一千美元给飞机装个后视镜,西北85号班机机长
别怕，我是开过滑翔机的,休斯西部706号班机
这架飞机上唯一没有的东西就是喇叭,加航143号班机（吉米尼滑翔机）
复习(review)与预习(preview)有个p区别······,
"恕心养到极处,只看得世间人都无罪过。",呻吟语
"是你的错,这一切全都是你的错。我像这样苟延残喘地挣扎着,执着于活下去也好,全都是你的错,是你让我对和你共同度过的时间产生了留恋。",四月は君の嘘
果然..选择你真是太好了。,四月は君の嘘
如果时光可以倒流的话，我还会选择在这与你相遇。,四月は君の嘘
我知道的，面码⋯⋯自己已经死掉这点事，还是知道的⋯⋯,我们仍未知道那天所看见的花的名字
原谅你逃避过去，但是，至少不要逃避现在和明天啊。,无头骑士异闻录 门田金平
『既不回头，何必不忘；既然无缘，何须誓言；今日种种，似水无痕；明夕何夕，君已陌路。』,仙剑奇侠传
『别人恋爱不成功，你连暗恋都不成功！』,灌篮高手
『其实，恋爱这种东西，当你看上人家的那一刹那就已经失败了。』,秋之回忆
没上过天空 不知道天空的美丽,落叶
五十年来和五百年内，中国写猴子的前三名都是我、我、我。,今何在
"五十年来和五百年内,中国人写白话文的前三名是李敖,李敖,李敖,嘴巴上骂我吹牛的人,心里都为我供了牌位。",李敖
如妻如妾，如兄如弟。,风姿物语
现在，作为父辈的我们，已经完成了我们的使命。我们渐渐老去，而你们将成长，这是造化的规律，无可避免。将来的世界，是属于你们的。你们不必像我们一样，日夜不停的战斗，在刀光剑影中前行，父亲高大的脊背，已为你建起了遮挡风雨的屋顶。,紫川
童年时，我们讲英雄故事给你听，并不是一定要你成为英雄，而是希望你具有高尚的品德。少年时，我们让你接触诗歌、绘画、音乐，是为了让你的心灵充满情趣。这些情趣会支撑你的一生。这样，即使在最严酷的冬天，你也不会忘记玫瑰的芳香。,紫川
英雄辈出的民族是不幸的民族，和平的生活注定是平庸而繁琐的。有些事，或许你现在还无法理解。但当你长大，你就会明白：你的父亲，一定不会希望你成为英雄，世俗的很多东西，耀眼而毫无价值。,紫川
你只是一时忘记罢了，这些东西肯定是不会从你的身上消失的。梦一直都还存在於你的心中，把他们想起来吧。用你的双耳去倾听、然后再轻轻地呼唤。光是这样，梦在任何时候都会再度出现在你的面前的........,梅露可物语：陪梦的你与忘却的城镇
来，你该进行你的下一段冒险了唷！已经救出了公主，这段故事不就该结束了吗。毕竟.......公主都已经成为了王妃了嘛。你该救的角色是公主没错吧？所以，这次，你该去救另外一位公主了唷。,梅露可物语：陪梦的你与忘却的城镇
我走得很慢 但是我从来不会后退,
所以啊，之所以每天翘首以盼，是想看母星的飞船会不会来。,《光厌》
"我对普通的人类没有兴趣，你们只要是有外星人、未来人、异世界人、超能力者, 就尽管来找我吧！以上！",凉宫春日的忧郁
一起哈皮闹,哈皮闹
『我在人生的道路上迷失了。』,火影忍者
我和我的小伙伴们都惊呆了！,我和我的小伙伴们都惊呆了
"世风下,然吾心有善,则善虽小而犹存,假以时日,定成星火之势",原创
只是做了我能做的事，没有时间想将来。,
一定会有某人，在未来等着你吧。,
苦到头未必是甜的，而甜到头一定是苦的。,
