倘若只是为了驱赶心中的寂寞，找谁都可以的,秒速5厘米
是个男人就要对自己的人生负责,麻辣教师
人生苦短 及时行乐,麻辣教师
休息对于生存而言，也是紧要问题,虫师
推理是不分输赢，不分高低的，因为，真相只有一个,新一
"this is where it start , and this is where it end , by my hand",DMC4
謝謝你喜歡我，對不起愛，我傷不起了,原創
想死的家伙上前来！！！,魔装少女就是本少爷
"This is where it start , and this is where it end",DMC4
当佛已无能为力，魔渡众生。,变身宿舍
天堂在左 战士向右,魔兽世界
旅行的意义在于找到自己，而非浏览他人。,网络
你知道雪为什么是白色的吗？因为她忘记了本来的颜色。,反叛的鲁路修
这生命如一阵风，凛冽而过，席卷天地。,且听风吟
"这生命如一阵风,凛冽而过,席卷天地。",且听风吟
我自倾怀 君且随意,无处寻
让你难过的事情，有一天你一定会笑着说出来。,肖申克的救赎
這個世上，沒有極端。,自己（手動揉個臉）
我的黑衣又该如何将你的星空包裹。,东方同人志
我们左手撑着摇摇欲坠的天空和梦想，右手支着将欲腐烂的大地现实。,网络
不是强者必胜，而是胜者必强，他们比我们强，谨此而已。——岩村努,黑子的篮球
人生的选择是对是错，没有人知道。——黑子哲也,黑子的篮球
能打败我的只有我自己。——青峰大辉,黑子的篮球
忤逆我的人，就算是父母也不能原谅。——赤司征十郎,黑子的篮球
我和你不一样，我是影子。——黑子哲也,黑子的篮球
团队不是单个人单个人的守护，而是每个人互相守护，这才叫团队。——木吉铁平,黑子的篮球
战胜一切的我，一切都是正确的。——赤司征十郎,黑子的篮球
是你赢了...哲... ——青峰大辉,黑子的篮球
欢迎来到帝光中学一军。——赤司征十郎,黑子的篮球
最好不要惹怒我!赝品和真货 光是被拿来比已经让我很火大了...——赤司征十郎,黑子的篮球
"爱,其实很简单，困难的是去接受它。",通灵王
我的腿让我停下，可是心却不允许我那么做。,钢之炼金术师
别人恋爱不成功，你连暗恋都不成功！,灌篮高手
悠太喜欢吃乌冬，我喜欢喜欢吃乌冬的悠太。——浅羽佑希,少年同盟
烟火的光辉还真是短暂呢...就像你的人生一样。——冢原要,少年同盟
什么都无法舍弃的人，什么都无法改变 。 ——阿尔敏,进击的巨人
做不到的话，不过就是一死 。但是，赢了就能活下去，要是不战斗就赢不了。——三笠阿克曼,进击的巨人
我不像你，一把年纪了还在厕所里玩爆破！——银时,银魂
我自己已经是一无所有了，但至少看到有掉下的东西，我还是会想去捡起来的。——银时,银魂
与其美丽的牺牲，倒不如美丽的活到最后一刻。——银时,银魂
我决定以人类的一个方法来感激你，我打算以身相许。,仙剑
要是我的名字叫金时的话。全部JUMP就得回收了！！——银时,银魂
如果我有＂卍解＂什么的就好了——银时,银魂
无论时代怎样的动荡，我们的真意也毫不动摇。除恶――既是恶即斩，这就是我们新撰组。,《浪客剑心》斋藤一
燃烧吧！小宇宙！——星矢,圣斗士星矢
我活着就是杀我之外的人而存在，只要还有我之外的人，我便不会消失。——我爱罗,火影忍者
吾亲芳泽亦非为私也。——橘 友雅,遥远的时空中
垃圾，垃圾中的垃圾，King of 垃圾。——黑柳亮,日式面包王
